name,datetime,tempmax,tempmin,temp,feelslikemax,feelslikemin,feelslike,dew,humidity,precip,precipprob,precipcover,preciptype,snow,snowdepth,windgust,windspeed,winddir,sealevelpressure,cloudcover,visibility,solarradiation,solarenergy,uvindex,severerisk,sunrise,sunset,moonphase,conditions,description,icon,stations
pfelling,2019-01-01,4.1,2.7,3.6,1.4,-1.8,0,2.6,93,2.542,100,58.33,rain,0.5,0.3,68.4,23.1,256,1027.7,99.3,5.1,6.7,0.7,0,,2019-01-01T08:02:38,2019-01-01T16:22:23,0.84,"Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"11055099999,D4799,11457099999,11051099999,10775099999"
pfelling,2019-01-02,1.1,-5.7,-1.1,-4.5,-10.2,-6.1,-3.3,85.1,4.32,100,75,"rain,snow",0.4,0.8,64.8,26.7,296.4,1027,91.2,9.6,34.4,3,2,,2019-01-02T08:02:35,2019-01-02T16:23:22,0.87,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11055099999,D4799,11457099999,11051099999,10775099999"
pfelling,2019-01-03,-2.1,-6.4,-3.5,-7.1,-12.1,-8.4,-6.2,81.8,1.301,100,41.67,snow,1.4,1.4,46.8,21.7,296.4,1034.9,85.4,13.7,20.2,1.7,1,,2019-01-03T08:02:30,2019-01-03T16:24:25,0.91,"Snow, Partially cloudy",Partly cloudy throughout the day with snow.,snow,"11055099999,D4799,E9218,11457099999,11051099999,10775099999"
pfelling,2019-01-04,-0.8,-4.4,-2.7,-5.7,-8,-6.9,-3.8,92.2,3.395,100,70.83,"rain,snow",3.4,3.7,50.4,18.7,276.9,1034.2,95.6,10,10.9,0.9,1,,2019-01-04T08:02:21,2019-01-04T16:25:29,0.94,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11055099999,D4799,11457099999,11051099999,10775099999"
pfelling,2019-01-05,1.3,-0.8,0.2,-1.8,-6,-4.4,-0.4,95.6,11.609,100,95.83,"rain,snow",1.5,6.8,54,22.2,270.4,1025.8,99.6,4.8,12.1,1.1,1,,2019-01-05T08:02:10,2019-01-05T16:26:35,0.98,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11055099999,D4799,11457099999,11051099999,10775099999"
pfelling,2019-01-06,1.5,0.1,0.8,-1.1,-3.7,-2.2,0,94.4,2.427,100,54.17,"rain,snow",0,6.3,43.2,14.9,293,1027.7,99.8,6.3,22.8,1.9,1,,2019-01-06T08:01:55,2019-01-06T16:27:44,0,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,rain,"11055099999,D4799,E9218,11457099999,11051099999,10775099999"
pfelling,2019-01-07,1.9,0.6,1.3,-1,-3.2,-2,0.6,95.2,3.222,100,75,"rain,snow",2.3,5,28.8,13.7,278.8,1030.6,99.8,7.7,12.7,1,1,,2019-01-07T08:01:38,2019-01-07T16:28:55,0.05,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"F0627,11055099999,D4799,11457099999,11051099999,10775099999"
pfelling,2019-01-08,2.1,-0.5,0.9,-2.7,-5.7,-4,-0.4,91.2,9.112,100,87.5,"rain,snow",1.3,7.2,64.8,26.2,252.8,1015.7,99.1,5.2,14.2,1.2,1,,2019-01-08T08:01:17,2019-01-08T16:30:07,0.08,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11055099999,D4799,E9218,11457099999,11051099999,10775099999"
pfelling,2019-01-09,1,-2.5,-0.9,-4.4,-8.2,-5.8,-2,92.3,9.944,100,87.5,"rain,snow",3.8,7.9,54,23.6,283.9,1009.5,97.7,5.3,16,1.2,1,,2019-01-09T08:00:54,2019-01-09T16:31:22,0.11,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11055099999,D4799,E9218,11457099999,11051099999,10775099999"
pfelling,2019-01-10,3.5,-3.4,-1.3,1.6,-6.7,-4.5,-2.7,90.4,4.392,100,87.5,"rain,snow",2.3,11.8,28.8,13.4,322.2,1019.1,98.1,7.6,30.6,2.6,2,,2019-01-10T08:00:27,2019-01-10T16:32:39,0.15,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11055099999,D4799,11457099999,04559,11051099999,10775099999"
pfelling,2019-01-11,-2.6,-5.5,-3.9,-4.2,-11.1,-7.8,-5.6,88.4,3.619,100,66.67,snow,3.9,12.5,61.2,16.6,259.2,1025.2,96.6,10.3,23.3,2,1,,2019-01-11T07:59:58,2019-01-11T16:33:57,0.18,"Snow, Overcast",Cloudy skies throughout the day with a chance of snow throughout the day.,snow,"11055099999,D4799,E9218,11457099999,11051099999,10775099999"
pfelling,2019-01-12,0.9,-2.4,-0.1,-3.2,-7,-4.6,-1.2,91.9,4.512,100,87.5,"rain,snow",2.3,16.7,61.2,19.3,255.9,1020.7,100,6.5,10.1,0.7,0,,2019-01-12T07:59:26,2019-01-12T16:35:17,0.21,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11055099999,D4799,E9218,11457099999,11051099999,10775099999"
pfelling,2019-01-13,3.8,-0.3,1.3,-0.5,-5.5,-3.1,0.5,94.5,13.843,100,100,"rain,snow",0,15.3,39.6,23.3,252.2,1008.2,98.5,6.1,8.3,0.6,0,,2019-01-13T07:58:51,2019-01-13T16:36:38,0.24,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,rain,"11055099999,D4799,E9218,11457099999,11051099999,10775099999"
pfelling,2019-01-14,3.8,-1.4,1.4,-0.7,-5.7,-3.1,-0.6,86.4,2.196,100,54.17,"rain,snow",0.9,12.4,57.6,24,285.1,1007,92.4,13.5,27.3,2.3,1,,2019-01-14T07:58:14,2019-01-14T16:38:01,0.25,"Snow, Rain, Overcast",Cloudy skies throughout the day with a chance of rain or snow throughout the day.,snow,"11055099999,D4799,11457099999,11051099999,10775099999"
pfelling,2019-01-15,1.9,-1.5,0.2,-2.8,-6.5,-4.8,-2.8,80.4,0.461,100,25,"rain,snow",0.5,13,57.6,23.1,261.8,1020,97.7,10.7,19.3,1.7,1,,2019-01-15T07:57:33,2019-01-15T16:39:26,0.31,"Snow, Rain, Overcast",Cloudy skies throughout the day with rain or snow.,snow,"11055099999,D4799,E9218,11457099999,11051099999,10775099999"
pfelling,2019-01-16,3.6,-0.9,1.3,1.4,-4.4,-2,-1.6,81.1,0,0,0,,0,12.7,57.6,18,246.1,1016.1,78.9,15.9,64.6,5.4,3,,2019-01-16T07:56:50,2019-01-16T16:40:51,0.34,Partially cloudy,Partly cloudy throughout the day.,partly-cloudy-day,"11055099999,D4799,11457099999,11051099999,10775099999"
